Date,Name,Current Price,Previous,Price Change,Change %,Latest Vol,Prev Vol,Vol Change %
2-Dec-20,AMD Industries Ltd.,16.25,15.35,0.9,5.86,21467,15193,0.413
2-Dec-20,Andhra Cement,5.55,5.05,0.5,9.9,1243000,697000,0.7825
2-Dec-20,Ansal Housing Ltd.,4.5,4.3,0.2,4.65,122000,21112,4.7916
2-Dec-20,Apar Industries Ltd.,366.6,354.9,11.7,3.3,80699,34986,1.3066
2-Dec-20,Apcotex Industries Ltd.,176.55,171.2,5.35,3.13,236000,62057,2.8064
2-Dec-20,Archidply Decor Ltd.,22.45,21.4,1.05,4.91,9620,3906,1.4629
2-Dec-20,Aro Granite Industries,39.05,37.4,1.65,4.41,78797,20827,2.7834
2-Dec-20,ARSS Infrastructure Projects,18.7,17.85,0.85,4.76,34769,8109,3.2877
2-Dec-20,Artemis Medicare Services Ltd.,192.95,175.85,17.1,9.72,36927,11234,2.2871
2-Dec-20,Arvind SmartSpaces Ltd.,102.85,93.95,8.9,9.47,1135000,383000,1.9648
2-Dec-20,Asahi Songwon Colors,222.75,217.5,5.25,2.41,29387,23803,0.2346
2-Dec-20,Ashima,12,11.6,0.4,3.45,227000,140000,0.622
2-Dec-20,Asian Hotels (North),60.9,56.65,4.25,7.5,40510,13175,2.0748
2-Dec-20,Asian Paints Ltd.,2315.85,2230.05,85.8,3.85,3305000,2235000,0.4788
2-Dec-20,Aspinwall & Company Ltd.,127.7,125.15,2.55,2.04,5110,550,8.2909
2-Dec-20,Associated Alcohols & Breweries Ltd.,292.6,280.8,11.8,4.2,140000,32355,3.3521
2-Dec-20,Astron Paper & Board Mill Ltd.,47.05,45.05,2,4.44,33749,9325,2.6192
2-Dec-20,Automotive Stampings and Assemblies,26.75,26.2,0.55,2.1,15215,12497,0.2175
2-Dec-20,AVT Natural Products Ltd.,47.1,46.15,0.95,2.06,190000,156000,0.2123
2-Dec-20,B.C. Power Controls Ltd.,5,4.8,0.2,4.17,205000,52626,2.9139
2-Dec-20,Bafna Pharmaceuticals Ltd.,133.6,127.25,6.35,4.99,25377,4796,4.2913
2-Dec-20,Bajaj Auto Ltd.,3338.15,3243.65,94.5,2.91,1707000,1400000,0.2187
2-Dec-20,Balmer Lawrie & Co. Ltd.,115.65,108.3,7.35,6.79,1640000,399000,3.1108
2-Dec-20,Banco Products (India) Ltd.,134.1,130.2,3.9,3,381000,265000,0.4353
2-Dec-20,Bank of India,47.45,46.6,0.85,1.82,6978000,5725000,0.2187
2-Dec-20,Barak Vally Cements,15.55,15.15,0.4,2.64,5117,4443,0.1517
2-Dec-20,Bedmutha Industries,22.4,21.35,1.05,4.92,19457,16883,0.1525
2-Dec-20,Berger Paints India Ltd.,665.2,655.5,9.7,1.48,1441000,1111000,0.2968
2-Dec-20,Bhagyanagar Properties Ltd.,23,22.6,0.4,1.77,8970,4509,0.9894
2-Dec-20,BHARAT 22 ETF - ICICI Prudential AMC,29.9,29.53,0.37,1.25,4066000,445000,8.117
2-Dec-20,Bharat Electronics Ltd.,113.55,111.8,1.75,1.57,16137000,10783000,0.4964
2-Dec-20,Bharat Forge Ltd.,515.65,509,6.65,1.31,3312000,1690000,0.9598
2-Dec-20,Bharat Petroleum Corporation Ltd.,384.5,379.3,5.2,1.37,9651000,4903000,0.9682
2-Dec-20,Bharti Infratel,224.8,216,8.8,4.07,129 M,17577000,6.3753
2-Dec-20,Birla Corporation Ltd.,743,734.5,8.5,1.16,446000,318000,0.4003
2-Dec-20,Bohra Industries Ltd.,1.05,1,0.05,5,18000,6000,2
2-Dec-20,Borosil Ltd.,171.05,166.3,4.75,2.86,488000,89998,4.4288
2-Dec-20,Brigade Enterprises Limit,222.8,220.1,2.7,1.23,598000,118000,4.0614
